username,dim_A_q1,dim_A_q2,dim_A_q3,dim_A_q4,dim_A_q5,dim_R_q1,dim_R_q2,dim_R_q3,dim_R_q4,dim_R_q5,dim_C_q1,dim_C_q2,dim_C_q3,dim_C_q4,dim_C_q5,dim_S_q1,dim_S_q2,dim_S_q3,dim_S_q4,dim_S_q5
student1,5,3,3,1,3,5,3,4,2,5,4,3,4,5,1,3,3,4,3,3
student2,1,1,5,3,1,3,3,2,1,3,3,2,2,3,5,4,1,2,2,1
student3,5,3,5,5,4,3,3,5,2,1,4,2,3,1,3,4,4,2,2,2
student4,1,2,5,3,2,5,2,1,5,1,3,5,5,5,5,3,2,4,3,5
student5,3,1,1,4,2,2,2,3,2,4,4,4,4,2,3,5,3,3,3,4
student6,1,1,3,2,2,5,1,1,2,2,5,2,2,4,5,3,2,1,5,1
student7,5,5,2,2,5,2,1,4,5,5,3,1,4,3,3,1,4,1,5,3
student8,1,5,2,1,2,1,3,1,5,3,2,5,4,5,2,4,5,5,5,2
student9,2,1,5,4,1,2,1,4,3,5,1,3,1,1,3,5,1,2,1,5
student10,1,5,3,1,5,4,2,3,2,2,5,2,1,1,3,1,3,5,5,3
student11,4,5,5,3,5,1,4,3,4,4,4,2,1,3,1,5,3,5,4,2
student12,1,3,2,5,1,1,2,4,4,5,2,5,4,5,1,4,5,1,5,4
student13,4,4,2,2,5,2,2,1,5,5,3,2,4,1,4,4,4,1,3,4
student14,3,1,5,1,1,1,3,1,1,4,4,2,5,5,4,2,1,2,2,5
student15,3,4,3,5,5,1,4,3,5,4,3,5,2,4,1,3,2,1,2,1
student16,4,2,4,5,3,2,3,3,2,4,1,3,3,5,2,1,4,1,5,3
student17,3,5,5,5,2,1,4,4,4,4,3,2,2,4,3,4,5,2,1,3
student18,2,3,1,2,3,4,1,3,1,2,1,1,4,4,2,4,3,4,2,2
student19,2,2,2,3,3,1,3,4,3,4,3,5,1,2,4,2,4,2,5,5
student20,4,1,3,3,2,5,3,2,4,1,4,3,2,4,1,5,3,2,2,3
student21,1,4,5,1,5,4,2,4,1,3,4,4,3,3,3,4,3,5,3,3
student22,5,2,4,5,3,4,5,5,3,4,5,2,3,2,5,4,4,3,4,3
student23,2,2,4,1,4,2,2,5,5,1,4,1,2,2,2,5,2,5,5,3
