username,dim_A_q1,dim_A_q2,dim_A_q3,dim_A_q4,dim_A_q5,dim_R_q1,dim_R_q2,dim_R_q3,dim_R_q4,dim_R_q5,dim_C_q1,dim_C_q2,dim_C_q3,dim_C_q4,dim_C_q5,dim_S_q1,dim_S_q2,dim_S_q3,dim_S_q4,dim_S_q5
student1,4,5,5,4,4,1,4,5,5,3,3,4,5,4,2,2,1,3,4,2
student2,4,5,2,5,4,1,3,2,4,4,1,2,3,5,3,1,2,1,5,1
student3,5,5,3,4,5,1,4,2,5,1,1,5,5,2,1,3,4,4,5,3
student4,1,4,1,3,1,4,1,1,1,5,1,3,5,1,2,1,5,2,4,3
student5,3,1,1,2,3,2,2,2,5,1,4,3,2,5,4,2,5,3,5,4
student6,2,2,3,5,2,4,5,1,5,4,4,4,4,3,5,2,1,3,5,3
student7,3,2,1,1,5,5,5,3,3,3,1,4,1,3,4,4,5,3,2,3
student8,5,2,4,1,3,3,2,1,2,5,5,1,5,1,1,3,5,1,4,5
student9,4,4,2,4,5,5,3,5,1,5,5,4,3,4,2,4,5,4,5,2
student10,4,1,5,5,2,4,2,1,3,4,5,4,1,3,1,4,1,4,3,5
student11,4,5,3,2,3,3,5,4,4,5,1,4,1,1,4,1,5,2,3,2
student12,3,4,5,3,2,3,2,1,2,5,4,1,5,5,3,1,1,3,1,3
student13,2,4,2,1,3,4,3,1,1,2,3,2,1,3,3,3,4,1,5,2
student14,2,5,4,5,5,3,4,4,4,5,2,1,3,4,2,2,5,5,5,5
student15,4,2,1,5,5,2,5,1,2,2,3,3,3,5,1,5,4,2,1,5
student16,1,4,3,5,1,3,1,4,3,4,1,3,1,2,5,1,1,5,1,1
student17,1,3,4,2,5,3,4,4,3,2,3,3,2,1,3,5,2,1,5,4
student18,2,5,2,4,1,4,4,3,4,2,5,4,5,2,4,2,3,3,3,4
student19,1,1,3,2,1,3,1,3,2,1,4,1,3,4,3,4,5,2,2,5
student20,5,2,5,1,4,3,1,2,1,5,2,1,1,2,2,5,5,5,1,5
student21,3,2,4,1,5,3,5,2,3,3,3,1,2,3,3,1,5,4,3,1
student22,4,1,5,2,5,2,4,2,3,5,1,3,1,5,3,2,4,1,5,4
student23,2,4,2,2,1,2,1,3,1,2,2,3,5,3,1,3,2,1,2,4
student24,4,5,1,2,5,5,4,5,2,3,5,3,2,1,1,4,4,1,1,1
student25,5,2,4,1,1,2,1,5,5,1,3,5,5,2,1,5,3,1,4,5
student26,3,3,3,4,4,4,5,2,3,3,5,2,3,5,1,3,4,1,3,1
student27,4,3,1,3,3,2,1,4,4,4,1,1,4,4,3,3,4,1,1,4
student28,1,1,3,4,2,3,1,1,1,5,1,1,4,2,4,1,2,4,3,5
student29,3,1,2,5,2,1,1,4,5,1,5,2,4,2,5,1,4,3,4,4
student30,4,5,3,2,4,5,3,3,3,3,1,3,4,2,1,2,3,2,1,3
student31,1,4,1,1,1,2,4,1,3,1,4,1,5,1,3,1,4,1,1,2
student32,3,3,1,2,2,3,4,1,1,5,1,4,1,4,1,2,4,1,4,3
student33,3,2,4,3,5,3,4,3,3,5,3,1,4,1,5,1,5,1,3,4
student34,5,5,1,4,4,4,2,4,2,4,2,5,1,4,1,5,2,1,5,2
student35,1,5,4,4,4,2,4,3,4,4,4,5,2,4,3,3,4,4,2,3
student36,1,1,5,2,3,3,1,2,4,1,3,3,3,2,1,2,4,4,2,1
student37,5,1,2,3,3,1,3,2,5,1,4,3,4,3,4,1,1,1,3,2
student38,4,3,1,3,4,5,1,5,5,1,3,5,1,4,1,4,1,5,2,5
student39,4,4,3,1,2,4,4,5,1,4,3,4,3,3,4,2,1,2,3,1
student40,4,3,1,3,1,2,2,3,1,3,5,3,5,4,4,4,2,3,2,1
student41,1,3,4,3,4,1,3,1,5,2,5,3,5,4,4,5,5,3,5,3
student42,5,3,3,2,5,4,3,4,3,1,5,4,3,4,3,2,4,5,2,1
student43,4,3,1,3,3,4,2,4,4,1,2,1,3,4,1,2,2,5,1,2
student44,2,1,5,4,4,1,1,3,3,3,2,1,1,3,5,4,2,4,1,1
student45,2,5,4,2,5,5,2,5,5,1,5,2,5,3,2,5,1,3,2,2
student46,5,4,2,1,1,3,2,1,1,4,5,5,4,4,2,1,2,4,3,1
student47,4,3,5,4,4,1,5,2,4,3,1,4,5,5,1,5,5,1,5,1
student48,2,3,5,1,3,1,1,2,2,5,4,5,1,1,1,1,2,4,5,2
student49,2,2,2,2,5,4,5,2,2,4,2,3,2,3,4,3,5,3,3,5
student50,5,4,1,3,2,2,2,2,2,5,1,4,2,5,2,1,5,3,2,4
