username,dim_A_q1,dim_A_q2,dim_A_q3,dim_A_q4,dim_A_q5,dim_R_q1,dim_R_q2,dim_R_q3,dim_R_q4,dim_R_q5,dim_C_q1,dim_C_q2,dim_C_q3,dim_C_q4,dim_C_q5,dim_S_q1,dim_S_q2,dim_S_q3,dim_S_q4,dim_S_q5
student1,1,3,5,4,2,5,5,1,4,4,4,5,3,5,2,4,3,1,5,3
student2,4,4,3,2,4,4,3,5,3,3,3,4,2,4,4,2,4,2,3,4
student3,3,5,1,1,5,2,1,2,5,4,1,2,1,2,1,1,3,3,3,1
student4,3,1,5,4,2,3,2,3,2,2,3,3,5,3,4,4,5,1,1,3
student5,4,5,1,5,3,3,2,5,3,5,5,4,1,4,5,2,1,4,3,3
student6,4,4,3,1,3,3,1,5,2,1,5,2,3,3,4,4,1,1,5,1
student7,5,5,2,3,1,1,5,3,1,5,4,5,1,3,1,4,3,5,5,2
student8,3,3,3,2,2,1,3,2,4,3,3,2,5,3,5,5,3,4,2,2
student9,3,5,4,4,5,2,4,5,1,4,1,4,3,5,3,4,1,4,3,3
student10,3,1,2,5,4,2,4,5,4,1,4,3,5,2,3,2,5,3,1,5
student11,3,4,4,3,3,5,1,4,4,2,1,4,1,2,1,2,1,2,5,4
student12,4,3,3,5,2,4,1,1,3,2,1,5,3,4,1,3,5,3,3,3
student13,5,3,1,1,3,5,3,2,5,1,2,5,4,3,2,2,5,3,2,2
student14,1,3,5,3,2,1,4,2,4,3,4,1,1,1,5,2,5,3,5,2
student15,4,4,1,3,1,2,3,2,3,1,2,5,3,3,3,5,2,3,1,3
student16,1,5,3,4,5,5,3,5,5,5,4,4,2,1,3,5,1,2,3,2
student17,2,1,1,4,3,3,2,4,5,2,2,1,5,4,3,4,3,5,1,3
student18,2,1,1,1,2,1,4,4,2,2,4,2,2,1,5,3,3,3,4,1
student19,3,3,3,5,2,3,2,4,4,4,1,5,3,5,2,3,4,1,1,4
student20,4,5,3,1,2,2,1,5,4,5,4,1,2,1,5,5,2,3,4,3
student21,5,5,1,2,5,5,3,1,1,3,3,5,5,5,2,2,1,1,3,3
student22,2,4,5,4,5,4,5,2,1,1,2,1,4,1,4,1,5,1,2,4
student23,5,4,5,3,2,2,1,3,2,3,3,2,2,1,2,5,5,5,5,5
student24,2,1,5,1,4,2,3,5,4,2,4,1,5,5,1,2,4,5,3,2
student25,2,5,5,4,5,1,5,1,2,2,2,5,3,4,1,1,1,3,1,4
student26,1,4,1,1,4,2,4,2,2,3,1,3,1,3,4,2,5,1,5,5
student27,2,5,3,1,1,4,1,1,5,1,3,3,3,4,3,4,1,2,4,1
student28,1,2,3,2,4,1,2,2,3,3,5,3,1,4,1,3,1,3,5,3
student29,1,2,5,3,5,1,1,3,5,3,3,5,5,4,1,5,3,2,2,4
student30,1,4,3,1,5,3,4,5,3,4,4,3,2,5,4,1,5,5,1,3
student31,1,4,5,3,1,2,4,1,4,4,2,5,1,4,2,1,5,3,4,1
student32,1,3,2,1,3,5,5,2,2,3,3,3,3,3,1,5,3,1,5,4
student33,4,4,1,1,2,4,5,2,3,3,5,4,3,4,1,1,4,3,3,4
student34,1,2,2,5,1,3,1,1,4,3,4,5,1,1,4,3,1,1,4,2
student35,5,2,5,4,2,5,3,1,3,4,5,1,5,1,5,2,1,2,2,3
student36,2,5,5,5,1,1,2,3,2,4,2,1,2,5,1,5,2,4,4,2
student37,2,1,3,3,1,2,3,5,5,2,5,1,5,1,4,1,1,4,2,5
student38,5,4,3,3,2,2,2,4,5,4,1,5,5,3,4,5,2,3,5,2
student39,3,3,1,3,1,1,2,5,5,4,1,4,2,3,2,5,5,4,1,5
student40,3,3,4,5,1,4,3,5,2,3,4,4,4,2,3,5,2,3,5,1
student41,3,5,1,5,3,4,2,5,5,5,4,3,3,2,3,2,1,4,2,4
student42,2,5,4,4,4,1,5,1,4,3,2,5,2,5,2,3,5,1,5,4
student43,2,1,4,5,4,3,2,5,3,1,3,1,3,5,2,4,1,1,4,5
student44,4,3,4,1,3,2,5,4,2,1,5,3,2,5,3,1,1,5,2,3
student45,5,1,2,3,5,1,5,4,1,4,1,2,1,5,2,2,1,4,4,1
student46,4,3,2,5,4,2,3,2,3,2,1,4,5,3,3,2,2,3,2,5
student47,1,5,3,1,3,3,1,2,1,2,4,5,1,4,1,4,4,2,5,3
student48,5,4,1,2,4,5,2,5,2,4,1,2,1,2,5,3,3,4,2,4
student49,3,3,2,5,1,1,3,4,5,2,1,2,5,3,4,2,3,4,2,5
student50,2,3,5,1,5,4,3,5,5,3,5,4,2,4,3,3,2,3,1,5
